Month,Year,Season,daytime_temperature_celcius,nighttime_temperature_celcius,relative_humidity_%,rainfall_mm
Jan,2022,Short Dry Season,32.3,25.6,77,74.6
Feb,2022,Short Dry Season,32.2,25.2,79,56.5
Mar,2022,Long Rainy Season,33.3,25.2,76,109.2
Apr,2022,Long Rainy Season,31.5,23.9,82,124.8
May,2022,Long Rainy Season,31.4,22.5,85,56.4
Jun,2022,Long Dry Season,30.6,20.9,84,2.9
Jul,2022,Long Dry Season,28.7,19.8,81,44.6
Aug,2022,Long Dry Season,29.9,19.3,80,10.1
Sep,2022,Transitional Period,30.8,20.4,81,21.8
Oct,2022,Short Rainy Season,31.4,20.4,82,5.7
Nov,2022,Short Rainy Season,32.5,23.6,85,85.9
Dec,2022,Short Rainy Season,32.3,24.8,88,79
Jan,2023,Short Dry Season,32.1,25.2,77,96.3
Feb,2023,Short Dry Season,32.6,25.4,81,102.9
Mar,2023,Long Rainy Season,32.7,25.1,83,93.4
Apr,2023,Long Rainy Season,30.7,23.9,86,360.8
May,2023,Long Rainy Season,31.3,23.1,83,79.2
Jun,2023,Long Dry Season,30,21.5,81,96.4
Jul,2023,Long Dry Season,30,20.8,77,33
Aug,2023,Long Dry Season,30.4,21,81,11.3
Sep,2023,Transitional Period,31.6,21.3,76,13.9
Oct,2023,Short Rainy Season,32.4,23.1,75,77.4
Nov,2023,Short Rainy Season,31,23.9,76,557
Dec,2023,Short Rainy Season,32.5,25.7,77,143.9
Jan,2024,Short Dry Season,32.4,24.9,79,54.2
Feb,2024,Short Dry Season,32.8,24.6,78,70.8
Mar,2024,Long Rainy Season,32.4,24,83,169.6
Apr,2024,Long Rainy Season,31.1,23.2,87,263.6
May,2024,Long Rainy Season,30.2,22,85,172.2
Jun,2024,Long Dry Season,30,20.2,82,31.3
Jul,2024,Long Dry Season,29.5,19.2,81,15.8
Aug,2024,Long Dry Season,29.9,19.1,80,17.8
Sep,2024,Transitional Period,30.6,19.5,79,20.2
Oct,2024,Short Rainy Season,31.4,20.8,79,77.3
